id,train_test,pred_type,class,pred,prob_abiotic,prob_biotic,knn,nbd_bal,lambda.1se,time_kl_shift,fluctanal_prop_r1,diff2_acf1,sd_d18O13C,avg_rR45CO244CO2,total_local_score,opp_class,opp_lambda.1se,opp_time_kl_shift,opp_fluctanal_prop_r1,opp_diff2_acf1,opp_sd_d18O13C,opp_avg_rR45CO244CO2,opp_total_local_score
4941,train,TN,abiotic,abiotic,0.9791,0.0209,173,0.3757,1.36295894267513,1.71336041211803e-05,-2.59101010364098,-5.04817509878796,7.46910255681722,67.5576045140617,67.3875390020541,2,3.79251422076297,8.3650341380451e-06,-1.04703907829433,1.79497579747871,-2.02600218053848,26.962791288616,25.6847341922961
4942,train,TN,abiotic,abiotic,0.9754,0.0246,173,0.3757,0.0845137975608585,-5.64947810636133e-05,-13.0464185660765,-28.0062443230584,168.531863558015,431.569434888877,559.048579062976,2,0.0770058247153383,-6.39071549608223e-05,-13.4332438277597,-28.9491527237195,177.45298173146,448.572768272429,583.643289545255
4946,train,TN,abiotic,abiotic,0.8504,0.1496,173,0.3757,0.154831369451632,3.89683028594808e-05,-12.74377976702,-16.5969131993206,63.9482986699827,-425.814791537612,-391.207146865667,2,0.29695267230009,4.09255800947679e-05,-8.79544246245776,-11.4093342593686,33.9464504014971,-273.707289788292,-259.965575183041
4948,train,TN,abiotic,abiotic,0.987,0.013,173,0.3757,3.06019605755355,9.94158864340595e-06,-1.29724688059647,-1.99542128682477,7.04865228700462,33.6810887839777,37.4370828451497,2,0.0740606697469769,-4.1453769170707e-05,-15.3433376093436,-22.1907395295516,189.370600005175,389.808537032766,541.645018445277
4949,train,TN,abiotic,abiotic,0.7084,0.2916,173,0.3757,3.06983858627371,4.38777823764163e-06,-1.28307574668382,-1.99858038086824,3.05176704011385,32.576463147122,32.346578447462,2,1.92794810011873,5.63108401912354e-06,-1.95295880834419,-3.03345148949557,4.36954445791765,49.2913705691234,48.6745103602853
4951,train,TN,abiotic,abiotic,0.9853,0.0147,173,0.3757,0.399177232056881,1.98872584858028e-05,-6.39468696344154,-12.2572899948044,56.6620685145808,171.975068210897,209.98517965449,2,3.39202224476837,9.16149194360737e-06,-1.16417135440243,-2.18360494634975,5.38526100195963,29.9669728873307,32.0044667500301
4952,train,TN,abiotic,abiotic,0.8996,0.1004,173,0.3757,1.17144927219233,4.49222333616228e-05,-2.94671295897449,-6.07225037465324,6.75708294063147,79.2461666278644,76.9843311571015,2,1.86527851938379,3.24434757360851e-05,-1.99169412926274,3.63862227150066,-4.09433014378087,53.0903189827819,50.6429494247147
4953,train,TN,abiotic,abiotic,0.8367,0.1633,173,0.3757,0.187288567175623,5.06542264930692e-05,-11.0888777851955,-15.1516959009749,123.920688644141,-316.632898517491,-218.952732905294,2,0.225589742213033,4.95194108045191e-05,-10.0305840648234,-13.6352271737716,110.341011774269,-277.243167254459,-190.567917199374
4959,train,TN,abiotic,abiotic,0.991,0.009,173,0.3757,0.057535249512122,6.29323812758082e-05,-18.4453323883851,20.6790854078109,-48.7870272282318,83.6181397138151,37.0649284373904,2,0.110347445447186,5.7873510132288e-05,-8.59260232792785,-14.6848176220939,16.643355332784,60.5641208917728,53.9301141480452
4960,train,TN,abiotic,abiotic,0.8438,0.1562,173,0.3757,0.154945443431925,0.000115203120226249,-13.5154733746082,-16.1515024211924,79.2154345931004,-481.556509412785,-432.007935412365,2,0.357944070764644,9.54107189689428e-05,-8.11060538010178,-9.95747779105942,34.7020772900506,-282.14964295875,-265.515553429142
